""	"GSE139948-GSM4141788-92017_Myeloid"	"GSE139948-GSM4141788-92017_Tumor"	"GSE139948-GSM4141789-92217_Myeloid"	"GSE139948-GSM4141789-92217_Stroma"	"GSE139948-GSM4141789-92217_Tumor"	"GSE139948-GSM4141790-92717_Myeloid"	"GSE139948-GSM4141790-92717_Stroma"	"GSE139948-GSM4141790-92717_Tumor"
"CHCHD1"	1.61965348000179	1.28075060226532	1.4398692151468	1.48085467939473	1.31914924886986	1.47579592077583	1.49740963338726	1.29390047862631
"MRPL52"	1.60441216494184	1.89571775963112	1.60655933975094	1.65402185366412	1.79029112806694	1.64064875569212	1.54448656881319	1.74021000657399
"SMPDL3A"	1.1282446733515	1.00929917193903	1.10897788469283	1.02625586580147	1.04546560200296	1.0754554318233	1.12867068761362	1.06395301483746
"RND1"	1	1.04214975683614	1.01112820232173	1	1.03305782057652	1	1	1.006071333892
"RAD9A"	1.11033200844589	1.16397388520935	1.08757362490966	1.10331196459953	1.12242838384945	1.10949581856075	1.19933220223607	1.1475466854718
"EFEMP2"	1.07411605506518	1.27202286755904	1.04419341245728	1.10331196459953	1.57417652917027	1.06973577661682	1.36850569452915	1.80723484469809
"AGAP5"	1	1.00283422113236	1.02220244700479	1	1.00429247281848	1.01176917839321	1	1.006071333892
"FAM21C"	1.03735115003241	1.04374043993417	1.04419341245728	1.05221763352791	1.03649633206488	1.06973577661682	1.07436485632772	1.0239383404379
"TMEM134"	1.43223055747019	1.31486401815409	1.38239980811517	1.71689876469067	1.29218417394677	1.34402809095304	1.43359936718351	1.39194654930334
"ZMAT3"	1.26732876059361	1.44193704255483	1.27417348141347	1.27456909225422	1.48698683008857	1.31019439924681	1.14651581774123	1.47211509958788
"ZFAND4"	1.01875136121762	1.00687696950994	1.01112820232173	1	1.01285316333911	1.02055642009957	1.01881503832228	1.00581868589341
"ZNF738"	1.1282446733515	1.22335019795277	1.05511221275439	1.02625586580147	1.26641925012283	1.06113080574598	1.05599248002206	1.11974962498564
"SLFN11"	1.11033200844589	1.00020256222097	1.06598121821236	1	1	1.12073993592346	1.11069976356626	1
"FAM71D"	1	1.00263189444058	1	1	1.00322011716308	1.00883258836946	1.01881503832228	1.00455502417415
"CORO1B"	1.57373525443911	1.2168578972454	1.3630080340781	1.39085176008092	1.20924450900256	1.54948067088914	1.5755207150967	1.32224023386089
"FUT10"	1	1.02478096139924	1.02220244700479	1.05221763352791	1.02058371033518	1.01763107384719	1.01881503832228	1.0113704748394
"LRRC20"	1	1.03697259255883	1	1	1.01951897234982	1.00589220926999	1	1.01791433878244
"MUS81"	1.1460323089802	1.16056243001167	1.10897788469283	1.2025019746915	1.17895747883095	1.09253431927813	1.25113804232749	1.20320253010189
"PURG"	1	1.02518170262033	1	1	1.02377497902797	1	1	1.01615436549877
"TMEM217"	1	1.00526073398422	1	1.02625586580147	1.00830930237886	1	1	1.00329065835431
"ZNF596"	1	1.0357762376967	1	1	1.0436217798871	1.01176917839321	1.01881503832228	1.03494182450854
