""	"Myeloid"	"Stroma"	"Tumor"
"NFATC3"	1.30415472711697	1.35131416897243	1.33137145272118
"NFATC4"	1.00676068705287	1.00103719779635	1.00972158037376
"NFE2"	1.00545524307085	1.01441275325965	1.00232868332193
"NFE2L1"	1.26135510855971	1.26458731290431	1.28100311051548
"NFE2L2"	2.02574602257722	2.44405177872915	1.69972521002566
"NFE2L3"	1.17787790179569	1.18655473894695	1.18210080348763
"NFIA"	1.92067877133741	1.46099036012057	2.12199991295917
"NFIB"	1.63227890640903	1.13303598708006	2.20703848106026
"NFIC"	1.43760219462091	1.59760794784297	1.39913750962877
"NFIL3"	1.4705467781633	1.68179948757344	1.23785822191822
"NFIX"	1.62053075374005	1.29248793195565	1.96590976171898
"NFKB1"	1.24535796674303	1.53262427665436	1.138678452478
"NFKB2"	1.11768186353419	1.23838233579442	1.03239888973309
"NFKBIA"	2.84406649312074	3.48266469196912	2.17277515040462
"NFKBIB"	1.52321123526767	1.47912695852282	1.37599276827537
"NFKBID"	1.88297826587633	2.33527750571492	1.20147834760726
"NFKBIE"	1.24127310944092	1.31365738321404	1.05770879899996
"NFKBIL1"	1.33539464972435	1.33781106107823	1.58798572971104
"NFKBIZ"	1.79216854667097	2.35584118051215	1.14807018068102
"NFRKB"	1.38756975353388	1.22861062628082	1.41666594041848
"NFS1"	1.31256512233019	1.44304038859638	1.328715806121
"NFU1"	1.50024867243943	1.47954421645998	1.55122348221222
"NFX1"	1.71663083982777	1.66437367658734	1.75427790161306
"NFXL1"	1.28493189844565	1.16476840448716	1.38114452515352
"NFYA"	1.20905083739295	1.32758316538692	1.22292282617754
"NFYB"	1.33337699469205	1.1943374978831	1.44563218639617
"NFYC"	1.64948243011989	1.61458041046725	1.70187025108409
"NGB"	1.00489650025437	1.00191072339859	1.00197278940702
"NGDN"	1.83314226069398	1.79576778024559	2.03837580260203
"NGEF"	1.00393543904808	1.01840480788082	1.0034702054298
"NGF"	1.00439266819709	1.00082167720881	1.00276815329733
"NGFR"	1.01075456855376	1.04987587856037	1.00542457333219
"NGFRAP1"	2.47208337152087	1.59392723836681	2.68512835585579
"NGLY1"	1.49359991036785	1.44888678195496	1.51577405534224
"NGRN"	2.30455347552611	1.82451301981794	2.51241256361141
"NHEG1"	1.00854932967127	1.00971308458418	1.01239481539234
"NHEJ1"	1.17436956379553	1.11213947567145	1.18203850838069
"NHLH1"	1.01042774989907	1.02342663806873	1.01690322375918
"NHLH2"	1.00764932872179	1.00830107104856	1.01517541002073
"NHLRC1"	1.01786661311581	1.0739219488799	1.03070270429948
"NHLRC2"	1.3287250282468	1.2869964238321	1.42071483317049
"NHLRC3"	1.41803387589849	1.52635922136148	1.37770670139485
"NHLRC4"	1.00556206177637	1.01760331293299	1.0027008479292
"NHP2"	2.38106075515167	1.94099064299467	2.31305835627147
"NHP2L1"	2.37696589893942	2.23569627985259	2.31082728199126
"NHS"	1.01796109783066	1.01210759431693	1.01454218397642
"NHSL1"	1.40281276122506	1.43502688790364	1.23640939611389
"NHSL2"	1.00898909079366	1.00502072169375	1.00830253013519
"NICN1"	1.31308868444947	1.28700558990179	1.42543084669826
"NID1"	1.05468394064	1.00485577050544	1.060983373876
"NID2"	1.20266362182122	1.05537134738112	1.13881595862683
"NIF3L1"	1.31211656341891	1.28773053768819	1.37874854896617
"NIM1"	1.38396503674369	1.10646259054953	1.31023561151909
